year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
1925,-0.492,-0.485,-0.374,-0.307,-0.306,-0.334,-0.331,-0.168,-0.259,-0.289,-0.059,0.014,-0.282
1925,91,92,91,90,90,90,92,91,89,89,90,91,
1926,0.083,-0.035,0.024,-0.158,-0.27,-0.183,-0.208,-0.1,-0.118,-0.07,-0.116,-0.322,-0.123
1926,92,91,92,89,91,91,91,89,91,91,91,92,
1927,-0.311,-0.212,-0.419,-0.315,-0.23,-0.248,-0.205,-0.213,-0.12,-0.03,-0.127,-0.324,-0.229
1927,89,92,93,92,92,92,91,91,92,91,92,91,
1928,-0.017,-0.125,-0.32,-0.235,-0.301,-0.327,-0.188,-0.179,-0.207,-0.184,-0.172,-0.227,-0.207
1928,91,91,90,92,92,91,92,91,90,90,89,90,
1929,-0.436,-0.604,-0.487,-0.437,-0.435,-0.409,-0.44,-0.266,-0.277,-0.221,-0.14,-0.56,-0.393
1929,91,90,90,91,91,91,90,89,90,90,91,91,
1930,-0.363,-0.356,-0.247,-0.231,-0.251,-0.204,-0.188,-0.098,-0.092,-0.091,0.064,-0.065,-0.177
1930,90,90,89,91,92,91,88,89,89,91,89,89,
1931,-0.137,-0.259,-0.109,-0.171,-0.193,-0.025,-0.008,-0.027,-0.052,-0.027,-0.136,-0.097,-0.103
1931,92,92,90,91,91,91,88,89,91,88,91,92,
1932,0.08,-0.178,-0.195,-0.061,-0.16,-0.255,-0.13,-0.19,-0.001,-0.094,-0.295,-0.267,-0.145
1932,91,92,91,93,93,91,91,90,91,92,92,94,
1933,-0.311,-0.351,-0.385,-0.285,-0.277,-0.324,-0.29,-0.154,-0.327,-0.246,-0.405,-0.514,-0.322
1933,94,95,94,91,90,88,90,91,89,92,93,94,
1934,-0.323,-0.145,-0.431,-0.372,-0.14,-0.092,-0.178,-0.114,-0.135,-0.082,0.032,-0.111,-0.174
1934,95,94,92,92,91,87,90,89,89,89,92,91,
1935,-0.348,0.05,-0.214,-0.323,-0.314,-0.209,-0.141,-0.149,-0.191,-0.055,-0.322,-0.257,-0.206
1935,91,92,94,90,90,90,89,91,91,92,91,94,
1936,-0.398,-0.343,-0.329,-0.188,-0.172,-0.149,-0.07,-0.073,-0.109,-0.041,-0.054,-0.106,-0.17
1936,96,95,96,92,92,93,90,91,93,92,93,94,
1937,-0.127,0.066,-0.262,-0.121,-0.091,-0.008,0.02,0.037,0.145,0.128,0.062,-0.078,-0.019
1937,94,94,95,92,91,91,92,91,90,91,92,93,
1938,0.046,-0.01,-0.015,0.04,-0.096,-0.094,-0.046,-0.003,0.02,0.163,0.055,-0.206,-0.012
1938,95,96,95,90,91,90,92,92,90,89,92,94,
1939,-0.122,-0.118,-0.289,-0.106,-0.03,0.015,-0.038,-0.041,-0.017,-0.099,0.021,0.334,-0.041
1939,95,96,95,92,92,90,89,88,83,78,85,88,
1940,-0.053,0.086,-0.036,0.149,0.05,0.045,0.148,0.1,0.131,0.096,-0.005,0.199,0.076
1940,87,88,85,78,87,84,84,86,83,85,84,83,
1941,-0.04,0.118,-0.117,0.036,0.061,0.06,0.161,0.04,-0.145,0.214,-0.007,0.075,0.038
1941,83,83,86,82,80,85,86,87,85,85,87,79,
1942,0.258,0.017,-0.042,-0.015,0.124,0.03,-0.06,-0.057,-0.013,-0.087,-0.058,-0.08,0.001
1942,83,86,88,84,83,84,82,83,82,81,85,84,
1943,-0.183,-0.031,-0.168,0.023,0.036,-0.075,0.018,0.032,-0.013,0.228,0.104,0.106,0.006
1943,83,84,85,80,81,81,81,81,83,80,79,81,
1944,0.318,0.119,0.12,0.042,0.12,0.107,0.149,0.207,0.168,0.208,0.088,0.083,0.144
1944,81,82,82,82,79,81,78,78,79,79,79,78,
1945,0.095,0.048,0.039,0.21,-0.062,-0.037,0,0.236,0.103,0.094,-0.011,-0.2,0.043
1945,82,81,80,79,76,77,75,77,73,74,74,78,
1946,0.046,-0.116,-0.122,-0.001,-0.083,-0.27,-0.109,-0.154,-0.098,-0.068,-0.108,-0.343,-0.119
1946,76,85,83,85,86,84,86,88,84,85,86,91,
1947,-0.151,-0.141,-0.076,-0.055,-0.071,-0.093,-0.065,-0.113,-0.16,0.034,0.029,-0.233,-0.091
1947,92,96,90,88,87,85,88,88,84,84,88,90,
1948,-0.019,-0.239,-0.283,-0.115,0.058,-0.008,-0.13,-0.048,-0.134,-0.057,-0.173,-0.349,-0.125
1948,92,93,89,87,87,85,86,88,86,86,85,89,
1949,-0.019,-0.242,-0.11,-0.147,-0.111,-0.233,-0.18,-0.078,-0.123,-0.09,-0.181,-0.212,-0.144
1949,92,93,95,91,89,90,88,89,89,89,90,93,
1950,-0.3,-0.37,-0.216,-0.244,-0.137,-0.105,-0.107,-0.153,-0.245,-0.201,-0.381,-0.261,-0.227
1950,95,93,96,89,90,87,90,91,90,88,92,96,
1951,-0.36,-0.509,-0.262,-0.108,0.032,0.06,0.039,0.121,0.132,0.124,-0.072,0.069,-0.061
1951,93,96,95,90,87,89,89,88,92,90,91,93,
1952,0.094,0.068,-0.164,0.046,0.022,0.023,0.09,0.097,0.096,-0.017,-0.132,-0.04,0.015
1952,96,97,97,91,88,89,89,88,89,89,90,93,
1953,-0.009,0.095,0.018,0.225,0.149,0.14,0.043,0.087,0.086,0.083,-0.006,0.019,0.078
1953,93,95,95,88,89,86,88,87,89,89,90,93,
1954,-0.243,-0.089,-0.183,-0.115,-0.171,-0.13,-0.196,-0.102,-0.113,-0.012,0.116,-0.164,-0.117
1954,93,94,96,91,90,89,88,92,89,90,92,96,
1955,0.106,-0.193,-0.396,-0.229,-0.239,-0.178,-0.208,-0.088,-0.143,-0.113,-0.321,-0.364,-0.197
1955,94,96,95,90,88,88,88,89,91,91,93,95,
1956,-0.24,-0.282,-0.356,-0.306,-0.336,-0.227,-0.211,-0.29,-0.273,-0.263,-0.215,-0.158,-0.263
1956,98,98,99,92,93,92,92,90,93,96,96,98,
1957,-0.222,-0.159,-0.198,-0.042,0.032,0.065,-0.063,0.073,0.041,-0.001,-0.004,0.052,-0.035
1957,98,99,99,95,94,93,94,94,94,98,97,100,
1958,0.255,0.093,0.005,-0.07,0.016,-0.153,-0.02,-0.083,-0.115,-0.019,-0.039,-0.082,-0.018
1958,100,99,99,97,96,95,93,95,94,95,98,98,
1959,0.014,-0.005,0.017,0.026,-0.039,-0.002,-0.044,-0.041,-0.141,-0.071,-0.186,-0.103,-0.048
